,location,name,on_campus,date,time,female_cashier,group_size,payment_type,tip_type,interaction_time,order_type,waited_in_line
48,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:41PM,y,1,contactless,electronic,15,dine-in,n
49,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:42PM,n,1,contactless,no-tip,19,to-go,n
50,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:44PM,y,1,contactless,electronic,12,to-go,n
51,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:46PM,y,2,contactless,electronic,23,to-go,n
52,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:47PM,n,1,contactless,no-tip,16,dine-in,n
53,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:49PM,y,2,contactless,no-tip,25,dine-in,n
54,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:51PM,n,1,contactless,no-tip,34,dine-in,n
55,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:52PM,y,1,contactless,no-tip,29,dine-in,n
56,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:52PM,n,1,contactless,no-tip,21,dine-in,n
57,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:53PM,y,1,contactless,no-tip,94,dine-in,n
58,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:54PM,n,2,contactless,electronic,94,to-go,n
59,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:55PM,n,1,contactless,electronic,32,to-go,n
60,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:55PM,y,1,contactless,no-tip,29,to-go,n
61,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:56PM,n,4,contactless,electronic,182,dine-in,n
62,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:58PM,n,1,contactless,electronic,39,dine-in,n
63,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,5:59PM,n,1,contactless,electronic,30,to-go,n
64,Sweet Greens at UTC,Nikki (Pei-ling) Gao,n,12/5/24,6:00PM,n,2,contactless,electronic,93,dine-in,n
65,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:29PM,y,1,contactless,electronic,17,to-go,n
66,Panda Express (Price Center @ UCSD),Ellie Park,y,12/5/24,4:30PM,y,1,contactless,electronic,14,to-go,n
